,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,82,0.45312,0.57812,0.04688,0.17188,0.17188,0.20312
nef_Ra,83,0.39062,0.48438,0.125,0.20312,0.20312,0.1875
nef_Ra,84,0.39062,0.5625,0.10938,0.23438,0.21875,0.28125
nef_Ra,85,0.53125,0.59375,0.07812,0.26562,0.26562,0.17188
nef_Ra,86,0.42188,0.51562,0.125,0.21875,0.21875,0.25
nef_Ra,87,0.42188,0.46875,0.10938,0.14062,0.14062,0.15625
nef_Ra,88,0.40625,0.5,0.10938,0.17188,0.1875,0.20312
nef_Ra,89,0.4375,0.57812,0.15625,0.25,0.23438,0.26562
nef_Ra,90,0.53125,0.5625,0.09375,0.23438,0.21875,0.1875
nef_Ra,91,0.45312,0.48438,0.17188,0.17188,0.20312,0.20312
nef_Ra,92,0.48438,0.46875,0.125,0.1875,0.1875,0.17188
nef_Ra,93,0.45312,0.60938,0.09375,0.21875,0.21875,0.23438
nef_Ra,94,0.46875,0.57812,0.01562,0.25,0.25,0.28125
nef_Ra,95,0.40625,0.45312,0.15625,0.1875,0.1875,0.17188
nef_Ra,96,0.48438,0.59375,0.14062,0.21875,0.1875,0.1875
nef_Ra,97,0.35938,0.45312,0.10938,0.25,0.25,0.1875
nef_Ra,98,0.46875,0.54688,0.09375,0.17188,0.15625,0.23438
nef_Ra,99,0.45312,0.57812,0.17188,0.1875,0.20312,0.26562
nef_Ra,100,0.375,0.53125,0.0625,0.14062,0.15625,0.15625
nef_Ra,101,0.45312,0.64062,0.10938,0.28125,0.29688,0.29688
nef_Ra,102,0.45312,0.57812,0.09375,0.15625,0.14062,0.1875
nef_Ra,103,0.39062,0.53125,0.04688,0.26562,0.21875,0.23438
nef_Ra,104,0.4375,0.51562,0.10938,0.1875,0.1875,0.1875
nef_Ra,105,0.51562,0.57812,0.09375,0.21875,0.23438,0.21875
nef_Ra,106,0.42188,0.57812,0.09375,0.20312,0.17188,0.23438
nef_Ra,107,0.42188,0.5,0.07812,0.21875,0.21875,0.23438
nef_Ra,108,0.51562,0.64062,0.14062,0.21875,0.21875,0.20312
nef_Ra,109,0.42188,0.45312,0.0625,0.14062,0.15625,0.17188
nef_Ra,110,0.45312,0.48438,0.125,0.26562,0.23438,0.26562
nef_Ra,111,0.39062,0.53125,0.09375,0.20312,0.21875,0.21875
nef_Ra,112,0.42188,0.54688,0.01562,0.20312,0.1875,0.20312
nef_Ra,113,0.48438,0.5625,0.14062,0.21875,0.20312,0.26562
nef_Ra,114,0.45312,0.53125,0.10938,0.28125,0.28125,0.1875
nef_Ra,115,0.48438,0.53125,0.14062,0.1875,0.1875,0.20312
nef_Ra,116,0.42188,0.53125,0.10938,0.21875,0.21875,0.21875
nef_Ra,117,0.48438,0.51562,0.10938,0.17188,0.17188,0.1875
nef_Ra,118,0.40625,0.51562,0.09375,0.1875,0.17188,0.21875
nef_Ra,119,0.5,0.53125,0.0625,0.25,0.25,0.25
roc_auc,0,0.80447,0.87466,0.49023,0.561,0.55322,0.56007
roc_auc,1,0.82907,0.89294,0.48926,0.59523,0.58707,0.62964
roc_auc,2,0.83427,0.85656,0.51943,0.57814,0.57039,0.63208
roc_auc,3,0.80788,0.855,0.47256,0.5436,0.53862,0.57184
roc_auc,4,0.80548,0.81253,0.46582,0.62663,0.6235,0.60358
roc_auc,5,0.79938,0.8638,0.46191,0.56984,0.55814,0.60464
roc_auc,6,0.75245,0.85011,0.46766,0.47844,0.46071,0.55435
roc_auc,7,0.81855,0.84017,0.495,0.60364,0.59932,0.62307
roc_auc,8,0.80225,0.81046,0.50195,0.58926,0.57468,0.61739
roc_auc,9,0.83426,0.8793,0.48438,0.56071,0.5527,0.60318
roc_auc,10,0.8295,0.88665,0.52627,0.58264,0.57675,0.59558
roc_auc,11,0.82314,0.8665,0.5292,0.54658,0.54113,0.57363
roc_auc,12,0.78403,0.84064,0.4668,0.53632,0.52579,0.57175
roc_auc,13,0.79092,0.8681,0.52344,0.56277,0.55524,0.58476
roc_auc,14,0.81073,0.85341,0.49598,0.59432,0.59146,0.60889
roc_auc,15,0.84305,0.84983,0.48817,0.58728,0.57718,0.6265
roc_auc,16,0.79501,0.85962,0.51172,0.57042,0.5639,0.57205
roc_auc,17,0.84601,0.86469,0.53418,0.56174,0.55289,0.59677
roc_auc,18,0.81822,0.88436,0.51552,0.51984,0.51085,0.55426
roc_auc,19,0.78966,0.82498,0.50674,0.62254,0.61323,0.66484
roc_auc,20,0.78674,0.84351,0.49902,0.58435,0.57834,0.57114
roc_auc,21,0.8241,0.86917,0.49414,0.59294,0.58316,0.64629
roc_auc,22,0.79568,0.84051,0.50671,0.49746,0.48548,0.54739
roc_auc,23,0.83167,0.85916,0.50966,0.60944,0.60366,0.63304
roc_auc,24,0.83636,0.83746,0.52051,0.61894,0.60553,0.65833
