,chi,metric,val_idx,vs_method,score
154,chi_1,roc_auc,34,LR,0.56169
155,chi_1,roc_auc,35,LR,0.5272
156,chi_1,roc_auc,36,LR,0.52394
157,chi_1,roc_auc,37,LR,0.54562
158,chi_1,roc_auc,38,LR,0.50713
159,chi_1,roc_auc,39,LR,0.52018
160,chi_1,roc_auc,40,LR,0.4982
161,chi_1,roc_auc,41,LR,0.46863
162,chi_1,roc_auc,42,LR,0.51813
163,chi_1,roc_auc,43,LR,0.47166
164,chi_1,roc_auc,44,LR,0.48055
165,chi_1,roc_auc,45,LR,0.46389
166,chi_1,roc_auc,46,LR,0.50978
167,chi_1,roc_auc,47,LR,0.46059
168,chi_1,roc_auc,48,LR,0.53843
169,chi_1,roc_auc,49,LR,0.53119
170,chi_1,roc_auc,50,LR,0.51542
171,chi_1,roc_auc,51,LR,0.48059
172,chi_1,roc_auc,52,LR,0.46914
173,chi_1,roc_auc,53,LR,0.48978
174,chi_1,roc_auc,54,LR,0.50865
175,chi_1,roc_auc,55,LR,0.50906
176,chi_1,roc_auc,56,LR,0.49177
177,chi_1,roc_auc,57,LR,0.42493
178,chi_1,roc_auc,58,LR,0.4763
179,chi_1,roc_auc,59,LR,0.47182
180,chi_1,roc_auc,60,LR,0.52053
181,chi_1,roc_auc,61,LR,0.5454
182,chi_1,roc_auc,62,LR,0.54061
183,chi_1,roc_auc,63,LR,0.52393
184,chi_1,roc_auc,64,LR,0.49553
185,chi_1,roc_auc,65,LR,0.51435
186,chi_1,roc_auc,66,LR,0.496
187,chi_1,roc_auc,67,LR,0.51522
188,chi_1,roc_auc,68,LR,0.50718
189,chi_1,roc_auc,69,LR,0.46944
190,chi_1,roc_auc,70,LR,0.49022
191,chi_1,roc_auc,71,LR,0.53297
192,chi_1,roc_auc,72,LR,0.51097
193,chi_1,roc_auc,73,LR,0.52543
194,chi_1,roc_auc,74,LR,0.54227
195,chi_1,roc_auc,75,LR,0.54176
196,chi_1,roc_auc,76,LR,0.51285
197,chi_1,roc_auc,77,LR,0.47195
198,chi_1,roc_auc,78,LR,0.49296
199,chi_1,roc_auc,79,LR,0.51357
200,chi_1,roc_auc,80,LR,0.51328
201,chi_1,roc_auc,81,LR,0.47228
202,chi_1,roc_auc,82,LR,0.49821
203,chi_1,roc_auc,83,LR,0.49464
204,chi_1,roc_auc,84,LR,0.54525
205,chi_1,roc_auc,85,LR,0.51947
206,chi_1,roc_auc,86,LR,0.53186
207,chi_1,roc_auc,87,LR,0.52171
208,chi_1,roc_auc,88,LR,0.52474
209,chi_1,roc_auc,89,LR,0.49047
210,chi_1,roc_auc,90,LR,0.47761
211,chi_1,roc_auc,91,LR,0.51106
212,chi_1,roc_auc,92,LR,0.48814
213,chi_1,roc_auc,93,LR,0.50278
