,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_12_Ra,78,0.56731,0.60577,0.13462,0.38462,0.38462,0.25
nef_12_Ra,79,0.5534,0.64078,0.12621,0.27184,0.27184,0.15534
nef_12_Ra,80,0.58654,0.61538,0.13462,0.32692,0.32692,0.20192
nef_12_Ra,81,0.625,0.69231,0.10577,0.36538,0.36538,0.19231
nef_12_Ra,82,0.56731,0.67308,0.09615,0.33654,0.33654,0.19231
nef_12_Ra,83,0.52427,0.58252,0.15534,0.30097,0.30097,0.2233
nef_12_Ra,84,0.59615,0.68269,0.17308,0.33654,0.32692,0.22115
nef_12_Ra,85,0.60577,0.67308,0.13462,0.35577,0.35577,0.19231
nef_12_Ra,86,0.54808,0.54808,0.06731,0.28846,0.28846,0.18269
nef_12_Ra,87,0.51456,0.60194,0.15534,0.34951,0.34951,0.24272
nef_12_Ra,88,0.55769,0.64423,0.08654,0.34615,0.33654,0.19231
nef_12_Ra,89,0.55769,0.65385,0.11538,0.29808,0.29808,0.16346
nef_12_Ra,90,0.54808,0.57692,0.08654,0.32692,0.32692,0.24038
nef_12_Ra,91,0.62136,0.69903,0.13592,0.36893,0.36893,0.23301
nef_12_Ra,92,0.56731,0.625,0.07692,0.32692,0.32692,0.21154
nef_12_Ra,93,0.57692,0.68269,0.08654,0.33654,0.34615,0.18269
nef_12_Ra,94,0.54808,0.64423,0.07692,0.32692,0.32692,0.24038
nef_12_Ra,95,0.58252,0.65049,0.17476,0.3301,0.3301,0.20388
nef_12_Ra,96,0.58654,0.64423,0.18269,0.31731,0.31731,0.24038
nef_12_Ra,97,0.53846,0.63462,0.11538,0.31731,0.31731,0.20192
nef_12_Ra,98,0.64423,0.60577,0.05769,0.36538,0.36538,0.23077
nef_12_Ra,99,0.53398,0.66019,0.08738,0.33981,0.33981,0.14563
nef_12_Ra,100,0.53846,0.66346,0.13462,0.33654,0.33654,0.18269
nef_12_Ra,101,0.55769,0.68269,0.17308,0.36538,0.36538,0.24038
nef_12_Ra,102,0.59615,0.66346,0.09615,0.32692,0.32692,0.22115
nef_12_Ra,103,0.53398,0.52427,0.06796,0.31068,0.31068,0.19417
nef_12_Ra,104,0.54808,0.63462,0.04808,0.28846,0.28846,0.20192
nef_12_Ra,105,0.59615,0.66346,0.07692,0.38462,0.38462,0.19231
nef_12_Ra,106,0.625,0.59615,0.125,0.31731,0.31731,0.24038
nef_12_Ra,107,0.56311,0.63107,0.13592,0.3301,0.3301,0.19417
nef_12_Ra,108,0.58654,0.64423,0.10577,0.36538,0.36538,0.25
nef_12_Ra,109,0.51923,0.55769,0.09615,0.31731,0.31731,0.18269
nef_12_Ra,110,0.54808,0.61538,0.13462,0.31731,0.30769,0.17308
nef_12_Ra,111,0.62136,0.67961,0.17476,0.3301,0.3301,0.20388
nef_12_Ra,112,0.58654,0.56731,0.07692,0.28846,0.29808,0.23077
nef_12_Ra,113,0.55769,0.59615,0.09615,0.29808,0.29808,0.14423
nef_12_Ra,114,0.57692,0.68269,0.08654,0.375,0.36538,0.25962
nef_12_Ra,115,0.56311,0.69903,0.07767,0.37864,0.38835,0.25243
nef_12_Ra,116,0.59615,0.625,0.13462,0.35577,0.35577,0.23077
nef_12_Ra,117,0.625,0.68269,0.15385,0.35577,0.35577,0.25
nef_12_Ra,118,0.51923,0.61538,0.07692,0.25962,0.26923,0.13462
nef_12_Ra,119,0.56311,0.62136,0.21359,0.33981,0.33981,0.19417
roc_auc,0,0.88968,0.91636,0.52013,0.61964,0.62041,0.55573
roc_auc,1,0.88405,0.89208,0.48386,0.62775,0.62882,0.56188
roc_auc,2,0.90081,0.8885,0.51306,0.6353,0.63599,0.55629
roc_auc,3,0.90715,0.93587,0.51711,0.66121,0.6617,0.58681
roc_auc,4,0.89446,0.91783,0.46397,0.65013,0.65096,0.57967
roc_auc,5,0.90656,0.90484,0.47708,0.63217,0.63276,0.5665
roc_auc,6,0.87272,0.90362,0.54082,0.65487,0.65565,0.59061
roc_auc,7,0.88243,0.90346,0.49784,0.60745,0.6086,0.5206
roc_auc,8,0.89224,0.92254,0.51641,0.62869,0.62974,0.56909
roc_auc,9,0.88574,0.88682,0.49413,0.59397,0.59452,0.52945
roc_auc,10,0.90598,0.92337,0.49974,0.69718,0.69743,0.61022
roc_auc,11,0.88255,0.89616,0.46202,0.6244,0.62576,0.55078
roc_auc,12,0.91741,0.93328,0.5186,0.66673,0.66698,0.59031
roc_auc,13,0.87186,0.88175,0.48298,0.65151,0.65254,0.56511
roc_auc,14,0.86527,0.88075,0.48464,0.5531,0.55335,0.50582
roc_auc,15,0.90513,0.91545,0.49207,0.67378,0.67502,0.59663
roc_auc,16,0.89995,0.91036,0.4808,0.62044,0.62166,0.54915
roc_auc,17,0.87855,0.92426,0.50156,0.66465,0.66463,0.60153
roc_auc,18,0.88844,0.89289,0.49711,0.61981,0.62058,0.55414
roc_auc,19,0.89885,0.92784,0.49311,0.6379,0.63863,0.55557
roc_auc,20,0.87061,0.88862,0.48167,0.59837,0.59888,0.53142
roc_auc,21,0.91564,0.89573,0.47927,0.65795,0.65939,0.59481
roc_auc,22,0.88909,0.92079,0.49864,0.66655,0.66665,0.5917
roc_auc,23,0.89893,0.90995,0.50741,0.62018,0.62067,0.54082
roc_auc,24,0.8723,0.88399,0.50221,0.65441,0.65524,0.58111
roc_auc,25,0.90073,0.91943,0.52297,0.6225,0.62332,0.55564
roc_auc,26,0.89539,0.91327,0.49754,0.62394,0.62501,0.5556
roc_auc,27,0.90086,0.92489,0.50032,0.64387,0.64425,0.56699
roc_auc,28,0.88608,0.90317,0.49238,0.6683,0.66835,0.59213
roc_auc,29,0.89475,0.91263,0.49085,0.61537,0.61557,0.54527
roc_auc,30,0.876,0.88763,0.51656,0.59721,0.59774,0.52838
roc_auc,31,0.90574,0.91909,0.49231,0.66535,0.6664,0.59436
roc_auc,32,0.89473,0.9161,0.49958,0.61835,0.61969,0.5446
roc_auc,33,0.90412,0.91371,0.51467,0.68322,0.68393,0.60687
roc_auc,34,0.89746,0.90637,0.49383,0.57353,0.57434,0.51047
roc_auc,35,0.86898,0.89938,0.50059,0.67035,0.67053,0.59811
roc_auc,36,0.89315,0.91916,0.50964,0.6079,0.60908,0.54447
roc_auc,37,0.89016,0.89567,0.50462,0.60692,0.60794,0.52493
roc_auc,38,0.91972,0.91262,0.45624,0.68366,0.68355,0.61767
roc_auc,39,0.87137,0.92163,0.49272,0.64807,0.64892,0.57136
roc_auc,40,0.91431,0.9269,0.50811,0.61963,0.62056,0.53687
roc_auc,41,0.88632,0.89878,0.49785,0.65295,0.65339,0.58854
roc_auc,42,0.88173,0.9045,0.53251,0.6342,0.63492,0.56374
roc_auc,43,0.90103,0.91177,0.48355,0.637,0.63749,0.57161
roc_auc,44,0.87784,0.91523,0.49325,0.67444,0.67502,0.59266
roc_auc,45,0.90213,0.907,0.46878,0.57214,0.57316,0.52459
roc_auc,46,0.87914,0.90532,0.46825,0.67833,0.67878,0.59489
roc_auc,47,0.90664,0.91059,0.51411,0.6186,0.61954,0.54977
roc_auc,48,0.88724,0.88157,0.49041,0.64121,0.64197,0.57864
roc_auc,49,0.90211,0.92403,0.48822,0.66174,0.66194,0.58947
roc_auc,50,0.88526,0.92011,0.4663,0.64846,0.64959,0.56041
roc_auc,51,0.87978,0.89579,0.49796,0.59385,0.59438,0.53048
roc_auc,52,0.88859,0.90319,0.5009,0.66452,0.66497,0.61264
roc_auc,53,0.87405,0.89452,0.51095,0.60153,0.60222,0.52435
roc_auc,54,0.92099,0.93132,0.48924,0.61662,0.61703,0.53257
roc_auc,55,0.87991,0.90771,0.48707,0.66046,0.66098,0.59099
roc_auc,56,0.86397,0.87843,0.49063,0.64921,0.65012,0.58651
roc_auc,57,0.90341,0.90514,0.51817,0.57402,0.57528,0.51972
roc_auc,58,0.90075,0.93151,0.52945,0.67959,0.67951,0.59677
roc_auc,59,0.91078,0.92218,0.46792,0.64548,0.6458,0.55979
roc_auc,60,0.90071,0.91266,0.53542,0.67306,0.67349,0.60546
roc_auc,61,0.9154,0.92368,0.50614,0.64256,0.64371,0.56054
roc_auc,62,0.9045,0.91698,0.51677,0.60675,0.60759,0.53729
roc_auc,63,0.84122,0.84843,0.50544,0.62164,0.62221,0.55558
roc_auc,64,0.8899,0.92204,0.50571,0.65823,0.65851,0.59217
roc_auc,65,0.88325,0.89032,0.49413,0.64941,0.64991,0.58142
roc_auc,66,0.89626,0.91381,0.51984,0.60586,0.60682,0.53804
roc_auc,67,0.89046,0.89683,0.48629,0.62927,0.63038,0.54673
roc_auc,68,0.89974,0.92422,0.495,0.63824,0.63879,0.56684
roc_auc,69,0.86467,0.88739,0.48211,0.58629,0.58697,0.52861
roc_auc,70,0.91434,0.92431,0.49252,0.65602,0.65709,0.58113
roc_auc,71,0.88105,0.90544,0.49692,0.66448,0.66488,0.58349
roc_auc,72,0.89727,0.8887,0.49653,0.56842,0.56925,0.48793
roc_auc,73,0.89389,0.91956,0.51379,0.61262,0.61323,0.54116
roc_auc,74,0.89423,0.89891,0.5017,0.61207,0.61271,0.54456
roc_auc,75,0.87636,0.91468,0.48945,0.75621,0.75694,0.69068
roc_auc,76,0.88541,0.91786,0.50156,0.67976,0.68056,0.59837
roc_auc,77,0.90736,0.89485,0.50767,0.60044,0.60089,0.53066
roc_auc,78,0.87224,0.89416,0.50235,0.66056,0.66098,0.6054
roc_auc,79,0.89535,0.91052,0.49153,0.60309,0.60398,0.52996
roc_auc,80,0.88522,0.89103,0.49849,0.63862,0.63928,0.56694
roc_auc,81,0.91497,0.92884,0.50789,0.66991,0.67115,0.59615
roc_auc,82,0.90006,0.91898,0.50891,0.61797,0.61848,0.54232
roc_auc,83,0.87534,0.90041,0.50833,0.61852,0.61897,0.55561
roc_auc,84,0.89174,0.90775,0.45654,0.62597,0.62666,0.55132
roc_auc,85,0.92228,0.92129,0.50527,0.63436,0.63562,0.56649
roc_auc,86,0.87072,0.89465,0.5135,0.63089,0.63157,0.55233
roc_auc,87,0.87258,0.89997,0.48668,0.65426,0.65468,0.58903
roc_auc,88,0.88899,0.91639,0.49784,0.6287,0.62947,0.54983
roc_auc,89,0.90109,0.91851,0.48101,0.60983,0.61014,0.53536
roc_auc,90,0.88511,0.89308,0.48356,0.65096,0.6519,0.58545
roc_auc,91,0.88506,0.9149,0.50136,0.65255,0.65302,0.58826
roc_auc,92,0.89371,0.89645,0.4867,0.63604,0.63675,0.57326
roc_auc,93,0.86876,0.90959,0.49762,0.61314,0.6137,0.5285
roc_auc,94,0.89192,0.89692,0.4934,0.63192,0.63256,0.55476
roc_auc,95,0.91324,0.92029,0.48471,0.6627,0.66344,0.60319
roc_auc,96,0.89127,0.90353,0.49631,0.64702,0.64727,0.57908
roc_auc,97,0.88402,0.90653,0.50352,0.614,0.61443,0.55984
roc_auc,98,0.91071,0.92221,0.47416,0.67465,0.67555,0.59745
roc_auc,99,0.88431,0.89581,0.50964,0.61103,0.61216,0.5244
roc_auc,100,0.87279,0.89944,0.48014,0.61206,0.6127,0.5459
roc_auc,101,0.90362,0.9402,0.49981,0.65366,0.65378,0.59101
roc_auc,102,0.89658,0.91663,0.49842,0.66399,0.6651,0.5959
roc_auc,103,0.89222,0.88507,0.51357,0.61586,0.61687,0.52838
roc_auc,104,0.87457,0.89176,0.51008,0.61614,0.61685,0.56819
roc_auc,105,0.91743,0.92063,0.48233,0.64559,0.64622,0.55914
roc_auc,106,0.89402,0.89188,0.51852,0.65843,0.65897,0.59
roc_auc,107,0.89309,0.91499,0.52262,0.62436,0.62569,0.54123
roc_auc,108,0.90232,0.91896,0.52559,0.62317,0.62384,0.56702
roc_auc,109,0.8832,0.88612,0.52559,0.64674,0.64775,0.55521
roc_auc,110,0.88243,0.90472,0.55042,0.64209,0.64265,0.56453
roc_auc,111,0.89544,0.9251,0.475,0.63112,0.63164,0.57318
roc_auc,112,0.88628,0.88671,0.49959,0.64014,0.64012,0.57259
roc_auc,113,0.8948,0.87884,0.50243,0.57778,0.57832,0.51502
roc_auc,114,0.88263,0.9191,0.48924,0.6522,0.65285,0.58925
roc_auc,115,0.89589,0.93675,0.52775,0.6726,0.67357,0.58282
roc_auc,116,0.89812,0.91022,0.47643,0.65806,0.65837,0.59339
roc_auc,117,0.90784,0.92299,0.49871,0.6698,0.67047,0.5885
roc_auc,118,0.86946,0.89085,0.51306,0.58889,0.58986,0.51943
roc_auc,119,0.88468,0.90715,0.4876,0.62567,0.62647,0.5566
