,chi,metric,val_idx,vs_method,score
154,chi_1,roc_auc,34,LR,0.51534
155,chi_1,roc_auc,35,LR,0.5692
156,chi_1,roc_auc,36,LR,0.59429
157,chi_1,roc_auc,37,LR,0.5634
158,chi_1,roc_auc,38,LR,0.49773
159,chi_1,roc_auc,39,LR,0.54997
160,chi_1,roc_auc,40,LR,0.50106
161,chi_1,roc_auc,41,LR,0.54006
162,chi_1,roc_auc,42,LR,0.54322
163,chi_1,roc_auc,43,LR,0.50053
164,chi_1,roc_auc,44,LR,0.53626
165,chi_1,roc_auc,45,LR,0.48403
166,chi_1,roc_auc,46,LR,0.4782
167,chi_1,roc_auc,47,LR,0.52574
168,chi_1,roc_auc,48,LR,0.56508
169,chi_1,roc_auc,49,LR,0.57162
170,chi_1,roc_auc,50,LR,0.49635
171,chi_1,roc_auc,51,LR,0.56651
172,chi_1,roc_auc,52,LR,0.53195
173,chi_1,roc_auc,53,LR,0.526
174,chi_1,roc_auc,54,LR,0.52035
175,chi_1,roc_auc,55,LR,0.51856
176,chi_1,roc_auc,56,LR,0.49994
177,chi_1,roc_auc,57,LR,0.5064
178,chi_1,roc_auc,58,LR,0.53807
179,chi_1,roc_auc,59,LR,0.51209
180,chi_1,roc_auc,60,LR,0.53208
181,chi_1,roc_auc,61,LR,0.53292
182,chi_1,roc_auc,62,LR,0.53681
183,chi_1,roc_auc,63,LR,0.50558
184,chi_1,roc_auc,64,LR,0.57089
185,chi_1,roc_auc,65,LR,0.54654
186,chi_1,roc_auc,66,LR,0.50269
187,chi_1,roc_auc,67,LR,0.50208
188,chi_1,roc_auc,68,LR,0.44287
189,chi_1,roc_auc,69,LR,0.53726
190,chi_1,roc_auc,70,LR,0.54917
191,chi_1,roc_auc,71,LR,0.45756
192,chi_1,roc_auc,72,LR,0.48529
193,chi_1,roc_auc,73,LR,0.53234
194,chi_1,roc_auc,74,LR,0.52329
195,chi_1,roc_auc,75,LR,0.49261
196,chi_1,roc_auc,76,LR,0.53754
197,chi_1,roc_auc,77,LR,0.52389
198,chi_1,roc_auc,78,LR,0.49442
199,chi_1,roc_auc,79,LR,0.51581
200,chi_1,roc_auc,80,LR,0.50242
201,chi_1,roc_auc,81,LR,0.57453
202,chi_1,roc_auc,82,LR,0.53543
203,chi_1,roc_auc,83,LR,0.57336
204,chi_1,roc_auc,84,LR,0.56995
205,chi_1,roc_auc,85,LR,0.52657
206,chi_1,roc_auc,86,LR,0.53771
207,chi_1,roc_auc,87,LR,0.55413
208,chi_1,roc_auc,88,LR,0.51004
