,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,82,0.54808,0.60577,0.16346,0.38462,0.38462,0.20192
nef_Ra,83,0.57282,0.62136,0.1165,0.30097,0.31068,0.19417
nef_Ra,84,0.49038,0.58654,0.06731,0.28846,0.28846,0.19231
nef_Ra,85,0.54808,0.625,0.08654,0.375,0.375,0.23077
nef_Ra,86,0.61538,0.66346,0.11538,0.30769,0.31731,0.24038
nef_Ra,87,0.62136,0.6699,0.16505,0.3301,0.3301,0.18447
nef_Ra,88,0.56731,0.64423,0.05769,0.38462,0.39423,0.23077
nef_Ra,89,0.53846,0.59615,0.09615,0.27885,0.27885,0.21154
nef_Ra,90,0.61538,0.70192,0.15385,0.34615,0.34615,0.18269
nef_Ra,91,0.56311,0.62136,0.14563,0.31068,0.30097,0.2233
nef_Ra,92,0.51923,0.625,0.15385,0.32692,0.33654,0.24038
nef_Ra,93,0.58654,0.67308,0.11538,0.34615,0.34615,0.20192
nef_Ra,94,0.53846,0.625,0.07692,0.28846,0.28846,0.19231
nef_Ra,95,0.62136,0.62136,0.17476,0.37864,0.36893,0.19417
nef_Ra,96,0.61538,0.65385,0.05769,0.31731,0.31731,0.17308
nef_Ra,97,0.48077,0.54808,0.14423,0.28846,0.28846,0.18269
nef_Ra,98,0.58654,0.71154,0.15385,0.35577,0.35577,0.24038
nef_Ra,99,0.57282,0.60194,0.09709,0.35922,0.35922,0.23301
nef_Ra,100,0.57692,0.55769,0.11538,0.33654,0.32692,0.16346
nef_Ra,101,0.52885,0.63462,0.125,0.375,0.375,0.26923
nef_Ra,102,0.57692,0.66346,0.14423,0.34615,0.35577,0.18269
nef_Ra,103,0.59223,0.62136,0.1165,0.29126,0.29126,0.18447
nef_Ra,104,0.56731,0.64423,0.05769,0.36538,0.36538,0.25962
nef_Ra,105,0.57692,0.68269,0.16346,0.34615,0.34615,0.22115
nef_Ra,106,0.61538,0.69231,0.09615,0.32692,0.32692,0.23077
nef_Ra,107,0.52427,0.58252,0.09709,0.27184,0.27184,0.13592
nef_Ra,108,0.60577,0.66346,0.125,0.32692,0.32692,0.20192
nef_Ra,109,0.57692,0.63462,0.11538,0.375,0.375,0.27885
nef_Ra,110,0.51923,0.58654,0.09615,0.33654,0.33654,0.20192
nef_Ra,111,0.59223,0.68932,0.1068,0.28155,0.28155,0.13592
nef_Ra,112,0.59615,0.58654,0.10577,0.34615,0.34615,0.21154
nef_Ra,113,0.55769,0.64423,0.09615,0.33654,0.33654,0.23077
nef_Ra,114,0.56731,0.68269,0.08654,0.30769,0.30769,0.17308
nef_Ra,115,0.5534,0.56311,0.1165,0.35922,0.35922,0.2233
nef_Ra,116,0.57692,0.65385,0.16346,0.34615,0.33654,0.21154
nef_Ra,117,0.54808,0.63462,0.11538,0.33654,0.34615,0.19231
nef_Ra,118,0.58654,0.67308,0.07692,0.32692,0.31731,0.18269
nef_Ra,119,0.56311,0.62136,0.1068,0.33981,0.33981,0.24272
roc_auc,0,0.89048,0.90104,0.47053,0.6317,0.63235,0.54767
roc_auc,1,0.87617,0.89834,0.51423,0.59314,0.59399,0.54357
roc_auc,2,0.89106,0.9202,0.48727,0.6222,0.62267,0.57174
roc_auc,3,0.89556,0.91967,0.51122,0.69618,0.69763,0.59474
roc_auc,4,0.90697,0.90818,0.51554,0.61676,0.6171,0.54052
roc_auc,5,0.87714,0.88634,0.50767,0.62851,0.62932,0.54802
roc_auc,6,0.89018,0.93132,0.49775,0.63494,0.63599,0.56706
roc_auc,7,0.87968,0.90902,0.48733,0.66223,0.66256,0.60674
roc_auc,8,0.87845,0.91055,0.5363,0.61973,0.6206,0.54242
roc_auc,9,0.89165,0.91228,0.49019,0.65318,0.65402,0.57821
roc_auc,10,0.89405,0.91688,0.55042,0.626,0.62645,0.57032
roc_auc,11,0.89399,0.89096,0.50702,0.64496,0.64541,0.56972
roc_auc,12,0.90395,0.88687,0.47468,0.63373,0.63449,0.54454
roc_auc,13,0.89768,0.94293,0.48953,0.65628,0.65722,0.60631
roc_auc,14,0.89336,0.89981,0.49864,0.62485,0.62529,0.5615
roc_auc,15,0.871,0.8987,0.51634,0.62934,0.62999,0.54804
roc_auc,16,0.90299,0.92406,0.47817,0.60941,0.61029,0.54785
roc_auc,17,0.88557,0.88853,0.52188,0.66719,0.66737,0.58598
roc_auc,18,0.8794,0.90934,0.51175,0.61787,0.61887,0.53221
roc_auc,19,0.90019,0.90586,0.53129,0.65011,0.65049,0.59211
roc_auc,20,0.86556,0.89036,0.50942,0.65695,0.65775,0.57826
roc_auc,21,0.9033,0.9223,0.52646,0.57139,0.57242,0.50482
roc_auc,22,0.90015,0.90723,0.49317,0.69546,0.69617,0.62552
roc_auc,23,0.90294,0.91145,0.46255,0.61907,0.61958,0.54851
roc_auc,24,0.89683,0.92286,0.49849,0.68353,0.68523,0.58896
roc_auc,25,0.87043,0.90948,0.49063,0.5752,0.57536,0.49985
roc_auc,26,0.91816,0.93041,0.48377,0.66493,0.6654,0.60731
roc_auc,27,0.87589,0.8821,0.49338,0.62067,0.62122,0.56046
roc_auc,28,0.88474,0.92259,0.52778,0.59829,0.59948,0.54178
roc_auc,29,0.87355,0.903,0.5009,0.61949,0.6198,0.54919
roc_auc,30,0.92295,0.92011,0.52268,0.63754,0.63814,0.55868
roc_auc,31,0.88151,0.89408,0.47435,0.68635,0.6874,0.60738
roc_auc,32,0.88,0.89208,0.50593,0.60922,0.61023,0.52927
roc_auc,33,0.89642,0.91826,0.50462,0.68239,0.68366,0.61783
roc_auc,34,0.89944,0.8973,0.4947,0.61352,0.61427,0.53967
roc_auc,35,0.90444,0.93107,0.51908,0.63469,0.63495,0.57228
roc_auc,36,0.89247,0.92057,0.46069,0.62891,0.62911,0.5655
roc_auc,37,0.87176,0.874,0.52231,0.68216,0.68303,0.61138
roc_auc,38,0.90931,0.92754,0.51568,0.64533,0.64605,0.57064
roc_auc,39,0.89252,0.89795,0.51253,0.58691,0.58782,0.51041
roc_auc,40,0.85911,0.90037,0.46419,0.60414,0.60388,0.53789
roc_auc,41,0.88203,0.91143,0.49107,0.58881,0.58953,0.53251
roc_auc,42,0.91539,0.90414,0.48443,0.65669,0.65719,0.57552
roc_auc,43,0.91459,0.92965,0.48432,0.6939,0.69516,0.61626
roc_auc,44,0.89976,0.90605,0.50723,0.61881,0.61934,0.55988
roc_auc,45,0.89611,0.91123,0.51686,0.63441,0.63496,0.54807
roc_auc,46,0.88045,0.88655,0.49165,0.63805,0.63877,0.56927
roc_auc,47,0.89661,0.9239,0.48525,0.65288,0.65397,0.58102
roc_auc,48,0.88861,0.87809,0.50745,0.66463,0.66535,0.57346
roc_auc,49,0.90562,0.92502,0.48145,0.59511,0.59604,0.52762
roc_auc,50,0.87076,0.89345,0.51634,0.60407,0.60466,0.54519
roc_auc,51,0.90562,0.93068,0.47134,0.67915,0.67969,0.60994
roc_auc,52,0.88426,0.90036,0.50592,0.63787,0.6386,0.56701
roc_auc,53,0.87518,0.92162,0.50025,0.63242,0.63347,0.57097
roc_auc,54,0.92197,0.91913,0.50935,0.63136,0.6325,0.54616
roc_auc,55,0.88539,0.90856,0.49823,0.64232,0.64242,0.57642
roc_auc,56,0.87405,0.87984,0.53193,0.60839,0.60881,0.53811
roc_auc,57,0.89742,0.92524,0.51641,0.65587,0.65698,0.56573
roc_auc,58,0.89717,0.92362,0.46257,0.64939,0.64963,0.57602
roc_auc,59,0.89705,0.92974,0.4977,0.63137,0.63251,0.57918
roc_auc,60,0.90288,0.90522,0.49522,0.64023,0.64114,0.56419
roc_auc,61,0.90252,0.92926,0.49173,0.62868,0.62966,0.54556
roc_auc,62,0.87364,0.90311,0.48618,0.63839,0.63911,0.56781
roc_auc,63,0.89217,0.8965,0.48656,0.63786,0.63849,0.58286
roc_auc,64,0.87262,0.90344,0.51685,0.63372,0.6348,0.5749
roc_auc,65,0.89991,0.91095,0.48582,0.66247,0.66277,0.59366
roc_auc,66,0.89837,0.93117,0.51918,0.63962,0.64012,0.56711
roc_auc,67,0.89509,0.89102,0.50321,0.60793,0.60919,0.52572
roc_auc,68,0.889,0.90853,0.47774,0.6563,0.65642,0.59135
roc_auc,69,0.8915,0.90138,0.4773,0.61183,0.61212,0.5506
roc_auc,70,0.90607,0.91253,0.4864,0.69097,0.69161,0.58591
roc_auc,71,0.8917,0.92325,0.52787,0.58567,0.58695,0.53201
roc_auc,72,0.88337,0.91932,0.51619,0.60653,0.60709,0.54859
roc_auc,73,0.88109,0.91812,0.51991,0.613,0.61431,0.54555
roc_auc,74,0.91511,0.91453,0.51131,0.66489,0.66552,0.58796
roc_auc,75,0.89845,0.88346,0.48444,0.66215,0.66313,0.57999
roc_auc,76,0.87213,0.91644,0.53084,0.59071,0.59105,0.51713
roc_auc,77,0.89117,0.91063,0.50745,0.64582,0.64574,0.58148
roc_auc,78,0.91389,0.91355,0.52858,0.64528,0.6465,0.5668
roc_auc,79,0.88636,0.88001,0.47238,0.66222,0.66308,0.59744
roc_auc,80,0.90313,0.91853,0.49916,0.66557,0.66655,0.58976
roc_auc,81,0.88336,0.91197,0.50309,0.59341,0.59421,0.5349
roc_auc,82,0.87596,0.89547,0.50912,0.66552,0.66614,0.57746
roc_auc,83,0.87268,0.89025,0.46032,0.61888,0.61904,0.55465
roc_auc,84,0.87779,0.88702,0.48582,0.61314,0.61391,0.54776
roc_auc,85,0.88475,0.91554,0.48276,0.71418,0.71476,0.62617
roc_auc,86,0.90532,0.93052,0.47852,0.63511,0.63592,0.58573
roc_auc,87,0.8981,0.91835,0.51384,0.57827,0.57864,0.4985
roc_auc,88,0.89708,0.92546,0.48364,0.68608,0.68679,0.6065
roc_auc,89,0.89466,0.88817,0.55706,0.61668,0.61755,0.53754
roc_auc,90,0.89586,0.92853,0.48924,0.60595,0.60598,0.54301
roc_auc,91,0.89249,0.90349,0.53707,0.63336,0.63468,0.57252
roc_auc,92,0.89025,0.90769,0.49281,0.64102,0.64147,0.56898
roc_auc,93,0.89642,0.91989,0.53674,0.6403,0.64141,0.56365
roc_auc,94,0.87246,0.90347,0.49404,0.58607,0.58607,0.53704
roc_auc,95,0.91146,0.89322,0.4876,0.6787,0.67997,0.59199
roc_auc,96,0.92293,0.93219,0.48844,0.62663,0.62785,0.53441
roc_auc,97,0.87762,0.88298,0.49522,0.60029,0.60103,0.5334
roc_auc,98,0.88038,0.92741,0.48597,0.66781,0.66847,0.59466
roc_auc,99,0.87913,0.8755,0.51673,0.64767,0.64786,0.59774
roc_auc,100,0.90649,0.91093,0.49653,0.5932,0.59323,0.52579
roc_auc,101,0.87985,0.91985,0.49172,0.65479,0.65553,0.59039
roc_auc,102,0.88527,0.9095,0.48618,0.71132,0.71177,0.63691
roc_auc,103,0.89416,0.89155,0.49415,0.58419,0.58565,0.5072
roc_auc,104,0.89042,0.90186,0.46156,0.67695,0.67798,0.61164
roc_auc,105,0.89426,0.93131,0.50112,0.63255,0.63323,0.56658
roc_auc,106,0.91215,0.92944,0.53951,0.61517,0.6156,0.53989
roc_auc,107,0.88045,0.87274,0.49546,0.61721,0.61804,0.54167
roc_auc,108,0.90066,0.91257,0.52341,0.60668,0.6065,0.53467
roc_auc,109,0.89506,0.92887,0.50811,0.69373,0.69509,0.62805
roc_auc,110,0.87914,0.89711,0.49514,0.64386,0.64462,0.56615
roc_auc,111,0.88496,0.91224,0.49534,0.59755,0.59798,0.52999
roc_auc,112,0.91073,0.91947,0.50855,0.69023,0.69063,0.61147
roc_auc,113,0.88097,0.89834,0.51095,0.62324,0.62387,0.56205
roc_auc,114,0.90152,0.9232,0.46389,0.5754,0.57629,0.50666
roc_auc,115,0.86478,0.88858,0.48537,0.65521,0.65628,0.5817
roc_auc,116,0.88927,0.92054,0.53849,0.65419,0.65427,0.59261
roc_auc,117,0.87993,0.90993,0.48364,0.6348,0.63532,0.58143
roc_auc,118,0.9087,0.91797,0.50103,0.62674,0.62799,0.54228
roc_auc,119,0.88141,0.88258,0.48602,0.62719,0.62837,0.54263
