,nested,non_nested,pre_optimized_hyprms,default_hyprms
0,0.820642918490691,0.820642918490691,0.820642918490691,0.820642918490691
1,0.8168366109906269,0.8168366109906269,0.8168366109906269,0.8168366109906269
2,0.8115884006923471,0.8115884006923471,0.8115884006923471,0.8115884006923471
3,0.822133370574995,0.822133370574995,0.822133370574995,0.822133370574995
4,0.8102363015908399,0.8102363015908399,0.8102363015908399,0.8102363015908399
5,0.8191069033317355,0.8191069033317355,0.8191069033317355,0.8191069033317355
6,0.8143956751278493,0.8143956751278493,0.8143956751278493,0.8143956751278493
7,0.8168586701982348,0.8168586701982348,0.8168586701982348,0.8168586701982348
8,0.8140290083424674,0.8140290083424674,0.8140290083424674,0.8140290083424674
9,0.8209166242783512,0.8209166242783512,0.8209166242783512,0.8209166242783512
10,0.8129728680213609,0.8129728680213609,0.8129728680213609,0.8129728680213609
11,0.8209952678718078,0.8209952678718078,0.8209952678718078,0.8209952678718078
12,0.8166453834724956,0.8166453834724956,0.8166453834724956,0.8166453834724956
13,0.8168079185703001,0.8168079185703001,0.8168079185703001,0.8168079185703001
14,0.8205397296533292,0.8205397296533292,0.8205397296533292,0.8205397296533292
15,0.8198200561886102,0.8198200561886102,0.8198200561886102,0.8198200561886102
16,0.820674904385368,0.820674904385368,0.820674904385368,0.820674904385368
17,0.8166911857233919,0.8166911857233919,0.8166911857233919,0.8166911857233919
18,0.827337026005057,0.827337026005057,0.827337026005057,0.827337026005057
19,0.8053952879765787,0.8053952879765787,0.8053952879765787,0.8053952879765787
20,0.8258600550810672,0.8258600550810672,0.8258600550810672,0.8258600550810672
21,0.8164161557373248,0.8164161557373248,0.8164161557373248,0.8164161557373248
22,0.8195330848484188,0.8195330848484188,0.8195330848484188,0.8195330848484188
23,0.8132517824391423,0.8132517824391423,0.8132517824391423,0.8132517824391423
24,0.8155502521860359,0.8155502521860359,0.8155502521860359,0.8155502521860359
25,0.8242882219700804,0.8242882219700804,0.8242882219700804,0.8242882219700804
26,0.8253632319002591,0.8253632319002591,0.8253632319002591,0.8253632319002591
27,0.8169686903979781,0.8169686903979781,0.8169686903979781,0.8169686903979781
28,0.8240570057550344,0.8240570057550344,0.8240570057550344,0.8240570057550344
29,0.8213179943147981,0.8213179943147981,0.8213179943147981,0.8213179943147981
